title,link,text,fund_name,action,target,stock_name,date
"Hold IIFL Securities, target price Rs 65: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/hold-iifl-securities-target-price-rs-65-icici-direct/articleshow/99832756.cms,"Promoters held 31.14 per cent stake in the company as of 31-Mar-2023, while FIIs owned 16.48 per cent, DIIs 3.2 per cent.",ICICI Direct,Hold,65,IIFL Securities,2023-04-28
"Buy Mahindra & Mahindra, target price Rs 1665.: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-mahindra-amp-mahindra-target-price-rs-1665-icici-direct/articleshow/99810643.cms,"The company is focused on prudent capital allocation, UV differentiation & EV proactiveness.",ICICI Direct,Buy,1665.,Mahindra & Mahindra,2023-04-27
"Hold Bajaj Auto, target price Rs 4530: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/hold-bajaj-auto-target-price-rs-4530-icici-direct/articleshow/99810406.cms,"Bajaj Auto, incorporated in the year 2007, is a Large Cap company (having a market cap of Rs 123416.10 Crore) operating in Auto sector.",ICICI Direct,Hold,4530,Bajaj Auto,2023-04-27
"Buy Maruti Suzuki India, target price Rs 10214: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-maruti-suzuki-india-target-price-rs-10214-hdfc-securities/articleshow/99810148.cms,"Maruti Suzuki India, incorporated in the year 1981, is a Large Cap company (having a market cap of Rs 257381.27 Crore) operating in Auto sector.",HDFC Securities,Buy,10214,Maruti Suzuki India,2023-04-27
"Buy Mahindra Lifespace Developers, target price Rs 521: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-mahindra-lifespace-developers-target-price-rs-521-hdfc-securities/articleshow/99809177.cms,"Promoters held 51.28 per cent stake in the company as of 31-Mar-2023, while FIIs owned 11.3 per cent, DIIs 19.43 per cent.",HDFC Securities,Buy,521,Mahindra Lifespace Developers,2023-04-27
"Buy Axis Bank, target price Rs 1100: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-axis-bank-target-price-rs-1100-icici-direct/articleshow/99808291.cms,Strong liability profile with healthy capitalisation makes the bank well placed to accrue earnings growth momentum. Healthy provision cover provides comfort on smoother earnings trajectory.,ICICI Direct,Buy,1100,Axis Bank,2023-04-27
"Hold Nestle India, target price Rs 23000: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/hold-nestle-india-target-price-rs-23000-icici-direct/articleshow/99806565.cms,"Nestle India, incorporated in the year 1959, is a Large Cap company (having a market cap of Rs 203041.37 Crore) operating in FMCG sector.",ICICI Direct,Hold,23000,Nestle India,2023-04-27
"Buy IndusInd Bank, target price Rs 1450: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-indusind-bank-target-price-rs-1450-icici-direct/articleshow/99805997.cms,"IndusInd Bank, incorporated in the year 1994, is a banking company (having a market cap of Rs 88514.12 Crore).",ICICI Direct,Buy,1450,IndusInd Bank,2023-04-27
"Buy Federal Bank, target price Rs 136.5: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-federal-bank-target-price-rs-136-5-icici-direct/articleshow/99805192.cms,"Federal Bank, incorporated in the year 1931, is a banking company (having a market cap of Rs 28547.55 Crore).",ICICI Direct,Buy,136.5,Federal Bank,2023-04-27
"Buy Pidilite Industries, target price Rs 2444: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-pidilite-industries-target-price-rs-2444-icici-direct/articleshow/99804886.cms,"Pidilite Industries, incorporated in the year 1969, is a Large Cap company (having a market cap of Rs 122818.89 Crore) operating in Diversified sector.",ICICI Direct,Buy,2444,Pidilite Industries,2023-04-27
"Buy Newgen Software Technologies, target price Rs 550: Axis Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-newgen-software-technologies-target-price-rs-550-axis-securities/articleshow/99804601.cms,"Daily, weekly strong uptrend forming a series ofhigher tops and bottoms.",Axis Securities,Buy,550,Newgen Software Technologies,2023-04-27
"Buy Berger Paints (India), target price Rs 650: Axis Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-berger-paints-india-target-price-rs-650-axis-securities/articleshow/99804378.cms,"Strong comeback of bullish , fastest retracement ofrecent down fall, huge rising volumes.",Axis Securities,Buy,650,Berger Paints (India),2023-04-27
"Buy Siemens, target price Rs 3685: Axis Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-siemens-target-price-rs-3685-axis-securities/articleshow/99804175.cms,"Siemens, incorporated in the year 1957, is a Large Cap company (having a market cap of Rs 123028.86 Crore) operating in Engineering sector.",Axis Securities,Buy,3685,Siemens,2023-04-27
"Buy Gujarat Narmada Valley Fertilizers & Chemicals, target price Rs 670: Axis Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-gujarat-narmada-valley-fertilizers-amp-chemicals-target-price-rs-670-axis-securities/articleshow/99803874.cms,Strong trend reversal on the daily chart along withhuge volumes.,Axis Securities,Buy,670,Gujarat Narmada Valley Fertilizers & Chemicals,2023-04-27
"Buy Persistent Systems, target price Rs 5880: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-persistent-systems-target-price-rs-5880-hdfc-securities/articleshow/99784037.cms,"Persistent Systems, incorporated in the year 1990, is a Mid Cap company (having a market cap of Rs 34167.32 Crore) operating in IT Software sector.",HDFC Securities,Buy,5880,Persistent Systems,2023-04-26
"Reduce FSN E-Commerce Ventures, target price Rs 110: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/reduce-fsn-e-commerce-ventures-target-price-rs-110-hdfc-securities/articleshow/99783726.cms,"Most of the fulfilment efficiency gains seem behind (especially in BPC); there may be room in customer acquisition costs (CAC) and product margins, but these are more a function of the competitive landscape and Nykaa remains in customer recruitment mode.",HDFC Securities,Reduce,110,FSN E-Commerce Ventures,2023-04-26
"Buy Mahindra Logistics, target price Rs 455: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-mahindra-logistics-target-price-rs-455-sharekhan-by-bnp-paribas/articleshow/99782183.cms,"Mahindra Logistics, incorporated in the year 2007, is a Mid Cap company (having a market cap of Rs 2641.18 Crore) operating in Logistics sector.",Sharekhan by BNP Paribas,Buy,455,Mahindra Logistics,2023-04-26
"Hold Ipca Laboratories, target price Rs 790: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/hold-ipca-laboratories-target-price-rs-790-sharekhan-by-bnp-paribas/articleshow/99781823.cms,"Ipca Laboratories, incorporated in the year 1949, is a Mid Cap company (having a market cap of Rs 17596.92 Crore) operating in Pharmaceuticals sector.",Sharekhan by BNP Paribas,Hold,790,Ipca Laboratories,2023-04-26
"Buy Persistent Systems, target price Rs 5010: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-persistent-systems-target-price-rs-5010-sharekhan-by-bnp-paribas/articleshow/99781646.cms,"Persistent Systems, incorporated in the year 1990, is a Mid Cap company (having a market cap of Rs 34314.06 Crore) operating in IT Software sector.",Sharekhan by BNP Paribas,Buy,5010,Persistent Systems,2023-04-26
"Buy Bajaj Auto, target price Rs 4782: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-bajaj-auto-target-price-rs-4782-sharekhan-by-bnp-paribas/articleshow/99779768.cms,"Promoters held 54.98 per cent stake in the company as of 31-Mar-2023, while FIIs owned 12.35 per cent, DIIs 10.79 per cent.",Sharekhan by BNP Paribas,Buy,4782,Bajaj Auto,2023-04-26
"Buy Nestle India, target price Rs 22990: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-nestle-india-target-price-rs-22990-sharekhan-by-bnp-paribas/articleshow/99779375.cms,"The stock is currently trading at 66.0x and 57.0x its CY2023E and CY2024E earnings, respectively.",Sharekhan by BNP Paribas,Buy,22990,Nestle India,2023-04-26
"Buy Canara Bank, target price Rs 311.4: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-canara-bank-target-price-rs-311-4-icici-direct/articleshow/99779100.cms,"ICICI Direct recommended to keep stop loss at Rs 304.7 Canara Bank, incorporated in the year 1906, is a banking company (having a market cap of Rs 55539.60 Crore).",ICICI Direct,Buy,311.4,Canara Bank,2023-04-26
"Buy UltraTech Cement, target price Rs 7489: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-ultratech-cement-target-price-rs-7489-icici-direct/articleshow/99777464.cms,Price rebounding after taking support at the 50 day EMA and 61.8% retracement of the previous up move signaling pullback likely in coming sessions.,ICICI Direct,Buy,7489,UltraTech Cement,2023-04-26
"Buy Shriram Finance, target price Rs 1500: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-shriram-finance-target-price-rs-1500-sharekhan-by-bnp-paribas/articleshow/99776535.cms,"Promoters held 25.51 per cent stake in the company as of 31-Mar-2023, while FIIs owned 49.78 per cent, DIIs 11.74 per cent.",Sharekhan by BNP Paribas,Buy,1500,Shriram Finance,2023-04-26
"Buy Delta Corp, target price Rs 208: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-delta-corp-target-price-rs-208-sharekhan-by-bnp-paribas/articleshow/99776319.cms,Breakout from the falling wedge pattern which is a bullish reversal pattern.,Sharekhan by BNP Paribas,Buy,208,Delta Corp,2023-04-26
"Buy Indian Hotels Company, target price Rs 360: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-indian-hotels-company-target-price-rs-360-sharekhan-by-bnp-paribas/articleshow/99776020.cms,"Indian Hotels Company, incorporated in the year 1902, is a Mid Cap company (having a market cap of Rs 48790.75 Crore) operating in Tourism & Hospitality sector.",Sharekhan by BNP Paribas,Buy,360,Indian Hotels Company,2023-04-26
"Buy IndusInd Bank Ltd., target price Rs 1410: Yes Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-indusind-bank-ltd-target-price-rs-1410-yes-securities/articleshow/99751962.cms,"IndusInd Bank, incorporated in the year 1994, is a banking company (having a market cap of Rs 86977.85 Crore).",Yes Securities,Buy,1410,IndusInd Bank Ltd.,2023-04-25
"Reduce IndusInd Bank, target price Rs 1025: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/reduce-indusind-bank-target-price-rs-1025-hdfc-securities/articleshow/99751748.cms,"IndusInd Bank, incorporated in the year 1994, is a banking company (having a market cap of Rs 86977.85 Crore).",HDFC Securities,Reduce,1025,IndusInd Bank,2023-04-25
"Accumulate Olectra Greentech, target price Rs 738: Geojit Financial Services",https://economictimes.indiatimes.com/markets/stocks/recos/accumulate-olectra-greentech-target-price-rs-738-geojit-financial-services/articleshow/99751616.cms,"Recommend Accumulate rating, considering capacity expansion & strong earnings growth.",Geojit Financial Services,Accumulate,738,Olectra Greentech,2023-04-25
"Buy Ipca Laboratories, target price Rs 940: Motilal Oswal Financial Services",https://economictimes.indiatimes.com/markets/stocks/recos/buy-ipca-laboratories-ltd-target-price-rs-940-motilal-oswal-financial-services/articleshow/99751465.cms,"Ipca Laboratories, incorporated in the year 1949, is a Mid Cap company (having a market cap of Rs 18871.79 Crore) operating in Pharmaceuticals sector.",Motilal Oswal Financial Services,Buy,940,Ipca Laboratories,2023-04-25
"Buy Macrotech Developers, target price Rs 1250: Motilal Oswal Financial Services",https://economictimes.indiatimes.com/markets/stocks/recos/buy-macrotech-developers-target-price-rs-1250-motilal-oswal-financial-services/articleshow/99750725.cms,"At the CMP, the stock trades at par to P/NAV, indicating no premium assigned to growth beyond FY24.",Motilal Oswal Financial Services,Buy,1250,Macrotech Developers,2023-04-25
"Buy IndusInd Bank, target price Rs 1450: Motilal Oswal Financial Services",https://economictimes.indiatimes.com/markets/stocks/recos/buy-indusind-bank-target-price-rs-1450-motilal-oswal-financial-services/articleshow/99750272.cms,"Promoters held 16.5 per cent stake in the company as of 31-Mar-2023, while FIIs owned 42.16 per cent, DIIs 26.38 per cent.",Motilal Oswal Financial Services,Buy,1450,IndusInd Bank,2023-04-25
"Buy IndusInd Bank, target price Rs 1375: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-indusind-bank-target-price-rs-1375-jm-financial/articleshow/99749603.cms,"IndusInd Bank, incorporated in the year 1994, is a banking company (having a market cap of Rs 85503.65 Crore).",JM Financial,Buy,1375,IndusInd Bank,2023-04-25
"Buy Samvardhana Motherson International, target price Rs 100: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-samvardhana-motherson-internationa-target-price-rs-100-jm-financial/articleshow/99749312.cms,The brokerage reiterates BUY with Mar’24 TP of INR 100 (18x FY25e EPS). Global slowdown and continued inflationary pressure are the key risk,JM Financial,Buy,100,Samvardhana Motherson International,2023-04-25
"Buy IndusInd Bank, target price Rs 1322: LKP Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-indusind-bank-target-price-rs-1322-lkp-securities/articleshow/99748843.cms,"IndusInd Bank, incorporated in the year 1994, is a banking company (having a market cap of Rs 85503.65 Crore).",LKP Securities,Buy,1322,IndusInd Bank,2023-04-25
"Buy Bank of Baroda, target price Rs 182.3 : ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-bank-of-baroda-target-price-rs-182-3-icici-direct/articleshow/99748705.cms,"Bank of Baroda, incorporated in the year 1911, is a banking company (having a market cap of Rs 94687.64 Crore).",ICICI Direct,Buy,,Bank of Baroda,2023-04-25
"Buy Larsen & Toubro, target price Rs 2253: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-larsen-amp-toubro-target-price-rs-2253-icici-direct/articleshow/99748445.cms,"Larsen & Toubro, incorporated in the year 1946, is a Large Cap company (having a market cap of Rs 313267.93 Crore) operating in Construction sector.",ICICI Direct,Buy,2253,Larsen & Toubro,2023-04-25
"Buy Aditya Birla Capital, target price Rs 168: ICICI Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-aditya-birla-capital-target-price-rs-168-icici-securities/articleshow/99748193.cms,"Aditya Birla Capital, incorporated in the year 2007, is a Large Cap company (having a market cap of Rs 38881.34 Crore) operating in NBFC sector.",ICICI Securities,Buy,168,Aditya Birla Capital,2023-04-25
"Buy Dr. Reddy's Laboratories, target price Rs 4980: ICICI Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-dr-reddys-laboratories-target-price-rs-4980-icici-securities/articleshow/99748056.cms,"Promoters held 26.7 per cent stake in the company as of 31-Mar-2023, while FIIs owned 27.25 per cent, DIIs 23.03 per cent.",ICICI Securities,Buy,4980,Dr. Reddy's Laboratories,2023-04-25
"Buy Titan Company, target price Rs 2730: ICICI Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-titan-company-target-price-rs-2730-icici-securities/articleshow/99748003.cms,"Titan Company, incorporated in the year 1984, is a Large Cap company (having a market cap of Rs 233447.81 Crore) operating in Gems and Jewellery sector.",ICICI Securities,Buy,2730,Titan Company,2023-04-25
"Buy IndusInd Bank, target price Rs 1360: BNP Paribas Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-indusind-bank-target-price-rs-1360-bnp-paribas-securities/articleshow/99726237.cms,"The key upside risk to the brokerage's call is a full cyclical reversal and high growth sentiment in its core CV, MFI businesses that may accelerate earnings momentum.",BNP Paribas Securities,Buy,1360,IndusInd Bank,2023-04-24
"Buy Axis Bank, target price Rs 1140: BNP Paribas Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-axis-bank-target-price-rs-1140-bnp-paribas-securities/articleshow/99726073.cms,"A protracted high interest-rate cycle is a greater risk to the bank than to large private peers, in terms of potential market share loss in prime credit.",BNP Paribas Securities,Buy,1140,Axis Bank,2023-04-24
"Buy ICICI Bank, target price Rs 1130: BNP Paribas Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-icici-bank-target-price-rs-1130-bnp-paribas-securities/articleshow/99725916.cms,"ICICI Bank, incorporated in the year 1994, is a banking company (having a market cap of Rs 626253.83 Crore).",BNP Paribas Securities,Buy,1130,ICICI Bank,2023-04-24
"Buy HDFC Bank, target price Rs 2180: BNP Paribas Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-hdfc-bank-target-price-rs-2180-bnp-paribas-securities/articleshow/99725667.cms,"HDFC Bank, incorporated in the year 1994, is a banking company (having a market cap of Rs 935890.26 Crore).",BNP Paribas Securities,Buy,2180,HDFC Bank,2023-04-24
"Buy Aarti Industries, target price Rs 563.9 : ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-aarti-industries-target-price-rs-563-9-icici-direct/articleshow/99724289.cms,"Aarti Industries, incorporated in the year 1984, is a Mid Cap company (having a market cap of Rs 20041.04 Crore) operating in Pharmaceuticals sector.",ICICI Direct,Buy,,Aarti Industries,2023-04-24
"Buy Kotak Mahindra Bank, target price Rs 1912.7: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-kotak-mahindra-bank-target-price-rs-1912-7-icici-direct/articleshow/99724078.cms,"Kotak Mahindra Bank, incorporated in the year 1985, is a banking company (having a market cap of Rs 373780.55 Crore).",ICICI Direct,Buy,1912.7,Kotak Mahindra Bank,2023-04-24
"Buy ICICI Bank, target price Rs 1058: LKP Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-icici-bank-target-price-rs-1058-lkp-securities/articleshow/99723754.cms,"ICICI Bank, incorporated in the year 1994, is a banking company (having a market cap of Rs 625555.55 Crore).",LKP Securities,Buy,1058,ICICI Bank,2023-04-24
"Buy Navin Fluorine International, target price Rs 5080: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-navin-fluorine-international-target-price-rs-5080-jm-financial/articleshow/99723513.cms,"Navin Fluorine International, incorporated in the year 1998, is a Mid Cap company (having a market cap of Rs 23391.64 Crore) operating in Chemicals sector.",JM Financial,Buy,5080,Navin Fluorine International,2023-04-24
"Buy HDFC Bank, target price Rs 1840: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-hdfc-bank-target-price-rs-1840-jm-financial/articleshow/99723106.cms,"Promoters held 25.59 per cent stake in the company as of 31-Mar-2023, while FIIs owned 32.24 per cent, DIIs 28.03 per cent.",JM Financial,Buy,1840,HDFC Bank,2023-04-24
"Buy Hindustan Zinc, target price Rs 335: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-hindustan-zinc-target-price-rs-335-jm-financial/articleshow/99722317.cms,"Hindustan Zinc key Products/Revenue Segments include Scrap, Export Incentives, Wind Energy and Other Operating Revenue for the year ending 31-Mar-2022.",JM Financial,Buy,335,Hindustan Zinc,2023-04-24
"Buy ICICI Bank, target price Rs 1115: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-icici-bank-target-price-rs-1115-jm-financial/articleshow/99721989.cms,"Promoters held 0 per cent stake in the company as of 31-Mar-2023, while FIIs owned 44.16 per cent, DIIs 44.99 per cent.",JM Financial,Buy,1115,ICICI Bank,2023-04-24
"Buy Reliance Industries, target price Rs 2900: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-reliance-industries-target-price-rs-2900-jm-financial/articleshow/99721175.cms,"The brokerage reiterated BUY (unchanged TP of Rs 2,900) given RIL’s industry leading capabilities across businesses and expectation of robust 13-14% EPS CAGR over the next 3-5 years.",JM Financial,Buy,2900,Reliance Industries,2023-04-24
"Buy Poonawalla Fincorp, target price Rs 332: Nuvama Wealth",https://economictimes.indiatimes.com/markets/stocks/recos/buy-poonawalla-fincorp-target-price-rs-332-nuvama-wealthnbsp/articleshow/99720374.cms,"Poonawalla Fincorp, incorporated in the year 1978, is a Small Cap company (having a market cap of Rs 23821.73 Crore) operating in NBFC sector.",Nuvama Wealth,Buy,332,Poonawalla Fincorp,2023-04-24
"Buy Balrampur Chini Mills, target price Rs 445: Nuvama Wealth",https://economictimes.indiatimes.com/markets/stocks/recos/buy-balrampur-chini-mills-target-price-rs-445-nuvama-wealthnbsp/articleshow/99720294.cms,Registered its highest ever weekly close in a year indicating bullish momentum.,Nuvama Wealth,Buy,445,Balrampur Chini Mills,2023-04-24
"Buy Relaxo Footwears, target price Rs 930: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-relaxo-footwears-target-price-rs-930-sharekhan-by-bnp-paribas/articleshow/99662629.cms,"Relaxo Footwears, incorporated in the year 1984, is a Mid Cap company (having a market cap of Rs 20536.40 Crore) operating in Leather sector.",Sharekhan by BNP Paribas,Buy,930,Relaxo Footwears,2023-04-21
"Hold Tata Power Company, target price Rs 220: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/hold-tata-power-company-target-price-rs-220-jm-financial/articleshow/99660849.cms,"Tata Power Company, incorporated in the year 1919, is a Mid Cap company (having a market cap of Rs 62596.70 Crore) operating in Power sector.",JM Financial,Hold,220,Tata Power Company,2023-04-21
"Buy NTPC Ltd., target price Rs 205: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-ntpc-ltd-target-price-rs-205-jm-financial/articleshow/99660153.cms,"NTPC, incorporated in the year 1975, is a Large Cap company (having a market cap of Rs 163728.21 Crore) operating in Power sector.",JM Financial,Buy,205,NTPC Ltd.,2023-04-21
"Buy ICICI Prudential Life Insurance Company, target price Rs 600: JM Financial",https://economictimes.indiatimes.com/markets/stocks/recos/buy-icici-prudential-life-insurance-company-target-price-rs-600-jm-financial/articleshow/99659520.cms,"ICICI Prudential Life Insurance Company, incorporated in the year 2000, is a Large Cap company (having a market cap of Rs 64145.90 Crore) operating in Financial Services sector.",JM Financial,Buy,600,ICICI Prudential Life Insurance Company,2023-04-21
